boardNumber,District,Email,Zip,Nodes
1,34,bk01@cb.nyc.gov,11211,1
2,33,cb2k@nyc.rr.com,11201,2
3,36,bk03@cb.nyc.gov,11216,3
4,37,BK04@cb.nyc.gov,11207,4
5,42,bk05@cb.ny.gov,11208,5
6,39,info@Brooklyn.CB6.org,11201,6
7,38,bk07@cb.nyc.gov,11232,7
8,36,info@brooklyncb8.org,11213,8
9,35,bk09@cb.nyc.gov,11225,9
10,43,bk10@cb.nyc.gov,11209,10
11,47,bk11@cb.nyc.gov,11214,11
12,44,bk12@cb.nyc.gov,11219,12
13,47,Info@bk13@cb.nyc.gov,11224,13
14,45,Info@cb14brooklyn.com,11239,14
15,48,bklcb15@verizon.net,11235,15
16,41,bk16@cb.nyc.gov,11212,16
17,45,bk17@cb.nyc.gov,11210,17
18,46,bkbrd18@optonline.net,11234,18
