,boardNumber,Nodes,Precinct,Email,Zip
X1,1,1,34,qn01@cb.nyc.gov,11105
X2,2,2,108,qn02@cb.nyc.govv,11377
X3,3,3,115,communityboard3@nyc.rr.com,11372
X4,4,4,110,QN04@cb.nyc.gov,11368
X5,5,5,104,qn05@cb.nyc.gov,11385
X6,6,6,112,qn06@cb.nyc.gov,11377
X7,7,7,109,qn07@cb.nyc.gov,11355
X8,8,8,107,qn08@cb.nyc.gov,11423
X9,9,9,102,communitybd9@nyc.rr.com,11424
X10,10,10,106,cb10qns@nyc.rr.com,11420
X11,11,11,111,cb11q@nyc.rr.com,11362
X12,12,12,103,qn12@cb.nyc.gov,11432
X13,13,13,105,mmcmillan@qcb13.org,11428
X14,14,14,100,mmcmillan@qcb13.org,11691
